year,season,episode,title,director,stars,Votes,writers,Central Perk,City spaces,Hallways,Hospitals,Jobs,Main apartments,Other lodging,Social Life,Transport
1994,1,1,The One Where Monica Gets a Roommate: The Pilot,James Burrows,8.3,7440,"['David Crane', 'Marta Kauffman']",0.25,0.0,0.0,0.0,0.08333333333333333,0.5,0.0,0.08333333333333333,0.08333333333333333
1994,1,2,The One with the Sonogram at the End,James Burrows,8.1,4888,"['David Crane', 'Marta Kauffman']",0.18181818181818182,0.0,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
1994,1,3,The One with the Thumb,James Burrows,8.2,4605,"['Mike Sikowitz', 'Jeff Astrof']",0.3333333333333333,0.13333333333333333,0.0,0.0,0.2,0.26666666666666666,0.0,0.06666666666666667,0.0
1994,1,4,The One with George Stephanopoulos,James Burrows,8.1,4468,['Alexa Junge'],0.1875,0.1875,0.0,0.25,0.0,0.375,0.0,0.0,0.0
1994,1,5,The One with the East German Laundry Detergent,Pamela Fryman,8.5,4438,"['Jeff Strauss', 'Jeff Greenstein']",0.375,0.1875,0.0,0.0,0.0,0.125,0.0,0.3125,0.0
1994,1,6,The One with the Butt,Arlene Sanford,8.1,4274,"['Adam Chase', 'Ira Ungerleider']",0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.5555555555555556,0.0,0.2222222222222222,0.0
1994,1,7,The One with the Blackout,James Burrows,9.0,5469,"['Mike Sikowitz', 'Jeff Astrof']",0.05,0.4,0.05,0.0,0.0,0.5,0.0,0.0,0.0
1994,1,8,The One Where Nana Dies Twice,James Burrows,8.1,4156,"['David Crane', 'Marta Kauffman']",0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.0,0.0
1994,1,9,The One Where Underdog Gets Away,James Burrows,8.2,4038,"['Jeff Strauss', 'Jeff Greenstein']",0.25,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.25,0.0,0.08333333333333333
1994,1,10,The One with the Monkey,Peter Bonerz,8.1,4064,"['Adam Chase', 'Ira Ungerleider']",0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
1995,1,11,The One with Mrs. Bing,James Burrows,8.2,3996,['Alexa Junge'],0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.0,0.4166666666666667,0.0,0.08333333333333333,0.0
1995,1,12,The One with the Dozen Lasagnas,Paul Lazarus,8.2,3926,"['Mike Sikowitz', 'Jeff Astrof', 'Adam Chase', 'Ira Ungerleider']",0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.5714285714285714,0.07142857142857142,0.0,0.0
1995,1,13,The One with the Boobies,Alan Myerson,8.7,4172,['Alexa Junge'],0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.6923076923076923,0.0,0.0,0.0
1995,1,14,The One with the Candy Hearts,James Burrows,8.3,3866,['Bill Lawrence'],0.23529411764705882,0.0,0.11764705882352941,0.0,0.0,0.29411764705882354,0.0,0.35294117647058826,0.0
1995,1,15,The One with the Stoned Guy,Alan Myerson,8.2,3915,"['Jeff Strauss', 'Jeff Greenstein']",0.23076923076923078,0.0,0.0,0.0,0.3076923076923077,0.46153846153846156,0.0,0.0,0.0
1995,1,16,The One with Two Parts: Part 1,Michael Lembeck,8.2,3834,"['David Crane', 'Marta Kauffman']",0.2,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.26666666666666666,0.0
1995,1,17,The One with Two Parts: Part 2,Michael Lembeck,8.5,3883,"['David Crane', 'Marta Kauffman']",0.14285714285714285,0.0,0.0,0.35714285714285715,0.0,0.35714285714285715,0.0,0.14285714285714285,0.0
