dialogue_line,humor
There's nothing to tell! He's just some guy I work with!,1.0
"C'mon, you're going out with the guy! There's gotta be something wrong with him!",1.0
"All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?",1.0
"Wait, does he eat chalk?",1.0
"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",0.0
"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",1.0
Sounds like a date to me.,1.0
"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",1.0
"Oh, yeah. Had that dream.",1.0
"Then I look down, and I realize there's a phone... there.",1.0
Instead of...?,0.0
That's right.,0.0
Never had that dream.,1.0
No.,0.0
"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",1.0
And they weren't looking at you before?!,1.0
"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",1.0
Hi.,0.0
"This guy says hello, I wanna kill myself.",1.0
"Are you okay, sweetie?",1.0
"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1.0
Cookie?,0.0
Carol moved her stuff out today.,0.0
Ohh.,1.0
Let me get you some coffee.,0.0
Thanks.,0.0
Ooh! Oh!,0.0
"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",1.0
Fine!  Be murky!,0.0
"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",1.0
No you don't.,0.0
"No I don't, to hell with her, she left me!",0.0
And you never knew she was a lesbian...,1.0
"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",1.0
Sometimes I wish I was a lesbian...  Did I say that out loud?,1.0
"I told mom and dad last night, they seemed to take it pretty well.",1.0
"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what?  A wrong number?",1.0
Sorry.,0.0
"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",1.0
"Strip joint! C'mon, you're single! Have some hormones!",1.0
"I don't want to be single, okay? I just... I just- I just wanna be married again!",1.0
And I just want a million dollars!,1.0
Rachel?!,0.0
"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1.0
Can I get you some coffee?,0.0
"De-caff.  Okay, everybody, this is Rachel, another Lincoln High survivor.  This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",1.0
"Hi, sure!",0.0
Hi.,0.0
"So you wanna tell us now, or are we waiting for four wet bridesmaids?",0.0
"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'.  So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",1.0
Who wasn't invited to the wedding.,1.0
"Ooh, I was kinda hoping that wouldn't be an issue...",1.0
"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",1.0
