title,type,speaker,dialogue_raw,dialogue_clean,stage_direction_inline,scene_note_inline,stage_direction_only,scene_note_only,season,episode
The One Where Monica Gets a Roommate: The Pilot,scene_note,,,,,,,"Scene: Central Perk, Chandler, Joey, Phoebe, and Monica are there.",1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,There's nothing to tell! He's just some guy I work with!,There's nothing to tell! He's just some guy I work with!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"C'mon, you're going out with the guy! There's gotta be something wrong with him!","C'mon, you're going out with the guy! There's gotta be something wrong with him!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?","All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,"Wait, does he eat chalk?","Wait, does he eat chalk?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,"They all stare, bemused.",,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!","Just, 'cause, I don't want her to go through what I went through with Carl- oh!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.","Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,Sounds like a date to me.,Sounds like a date to me.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,scene_note,,,,,,,Time Lapse,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.","Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ALL,"Oh, yeah. Had that dream.","Oh, yeah. Had that dream.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"Then I look down, and I realize there's a phone... there.","Then I look down, and I realize there's a phone... there.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,Instead of...?,Instead of...?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,That's right.,That's right.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,Never had that dream.,Never had that dream.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,No.,No.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.","All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,And they weren't looking at you before?!,And they weren't looking at you before?!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!","Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,scene_note,,,,,,,"Time Lapse, Ross has entered.",1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,(mortified) Hi.,Hi.,(mortified),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"This guy says hello, I wanna kill myself.","This guy says hello, I wanna kill myself.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Are you okay, sweetie?","Are you okay, sweetie?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...","I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,Cookie?,Cookie?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,(explaining to the others) Carol moved her stuff out today.,Carol moved her stuff out today.,(explaining to the others),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,Ohh.,Ohh.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,(to Ross) Let me get you some coffee.,Let me get you some coffee.,(to Ross),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,Thanks.,Thanks.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,Ooh! Oh! (She starts to pluck at the air just in front of Ross.),Ooh! Oh!,(She starts to pluck at the air just in front of Ross.),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?","No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",,,,,1,1
