episode_number,title,writers,type,speaker,dialogue_raw,dialogue_clean,stage_direction_inline,scene_note_inline,stage_direction_only,scene_note_only,content,season,episode
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,scene_note,,,,,,,"Scene: Central Perk, Chandler, Joey, Phoebe, and Monica are there.",,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,There's nothing to tell! He's just some guy I work with!,There's nothing to tell! He's just some guy I work with!,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,"C'mon, you're going out with the guy! There's gotta be something wrong with him!","C'mon, you're going out with the guy! There's gotta be something wrong with him!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,"All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?","All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,"Wait, does he eat chalk?","Wait, does he eat chalk?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,stage_direction,,,,,,"They all stare, bemused.",,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!","Just, 'cause, I don't want her to go through what I went through with Carl- oh!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.","Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,Sounds like a date to me.,Sounds like a date to me.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,scene_note,,,,,,,Time Lapse,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.","Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,All,"Oh, yeah. Had that dream.","Oh, yeah. Had that dream.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,"Then I look down, and I realize there's a phone... there.","Then I look down, and I realize there's a phone... there.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,Instead of...?,Instead of...?,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,That's right.,That's right.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,Never had that dream.,Never had that dream.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,No.,No.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.","All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,And they weren't looking at you before?!,And they weren't looking at you before?!,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!","Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,scene_note,,,,,,,"Time Lapse, Ross has entered.",,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,(mortified) Hi.,Hi.,(mortified),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,"This guy says hello, I wanna kill myself.","This guy says hello, I wanna kill myself.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Are you okay, sweetie?","Are you okay, sweetie?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...","I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,Cookie?,Cookie?,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,(explaining to the others) Carol moved her stuff out today.,Carol moved her stuff out today.,(explaining to the others),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,Ohh.,Ohh.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,(to Ross) Let me get you some coffee.,Let me get you some coffee.,(to Ross),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,Thanks.,Thanks.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,Ooh! Oh! (She starts to pluck at the air just in front of Ross.),Ooh! Oh!,(She starts to pluck at the air just in front of Ross.),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?","No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,Fine!  Be murky!,Fine!  Be murky!,,,,,,01,01
